Name,Brand,URL,Image,Score/Users
Oud Maracujá,Maison Crivelli,https://www.parfumo.com/Perfumes/Maison_Crivelli/oud-maracuja,https://pimages.parfumo.de/240/204846_img-2426-maison-crivelli-oud-maracuja_240.jpg,8.3 1073
Le Vestiaire - Tuxedo,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Le_Vestiaire__Tuxedo,https://pimages.parfumo.de/240/64938_z32hpj_le_vestiaire__tuxedo_240.jpg,8.5 930
Opera,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/Opera,https://pimages.parfumo.de/240/42738_img-6615-xerjoff-opera_240.jpg,8.1 1346
African Leather  Eau de Parfum,Memo Paris,https://www.parfumo.com/Perfumes/memo-paris/african-leather-eau-de-parfum,https://pimages.parfumo.de/240/61571_img-5434-memo-cuirs_nomades__african_leather_240.jpg,8.3 1063
Coromandel  Eau de Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__Coromandel_Eau_de_Parfum,https://pimages.parfumo.de/240/80467_bxo33t_les_exclusifs_de_chanel__coromandel_eau_de_parfum_240.jpg,8.5 957
Bois d'Argent,Dior,https://www.parfumo.com/Perfumes/Dior/La_Collection_Couturier_Parfumeur_Bois_d_Argent,https://pimages.parfumo.de/240/2178_img-3508-dior_christian_dior-bois_d_argent_240.jpg,8.1 1312
Shaghaf Oud  Eau de Parfum,Swiss Arabian,https://www.parfumo.com/Perfumes/Swiss_Arabian/shaghaf-oud-eau-de-parfum,https://pimages.parfumo.de/240/85165_img-4659-swiss-arabian-shaghaf-oud_240.jpg,7.6 1951
Gris Dior  Eau de Parfum,Dior,https://www.parfumo.com/Perfumes/Dior/gris-dior-gris-montaigne-eau-de-parfum,https://pimages.parfumo.de/240/25175_img-2761-dior-christian-dior-gris-dior-gris-montaigne_240.jpg,8.0 1346
A Midsummer Dream,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/A_Midsummer_Dream,https://pimages.parfumo.de/240/75018_img-4587-roja_parfums-a_midsummer_dream_240.jpg,8.2 1120
Soleil Blanc  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Soleil_Blanc_Eau_de_Parfum,https://pimages.parfumo.de/240/68751_img-5638-tom-ford-soleil-blanc-eau-de-parfum_240.jpg,8.0 1346
Alexandria III,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/alexandria-iii,https://pimages.parfumo.de/240/123907_img-6126-xerjoff-alexandria-iii_240.jpg,8.6 837
Ambre Tabac  Eau de Parfum,Daniel Josier,https://www.parfumo.com/Perfumes/Daniel_Josier/ambre-tabac-eau-de-parfum,https://pimages.parfumo.de/240/58413_img-9569-daniel-josier-ambre-tabac_240.jpg,8.6 840
"5 - Floral, Amber, Sensual Musk  Eau de Parfum",Rosendo Mateu - Olfactive Expressions,https://www.parfumo.com/Perfumes/Rosendo_Mateu__Olfactive_Expressions/5-floral-amber-sensual-musk-eau-de-parfum,https://pimages.parfumo.de/240/92109_img-5495-rosendo_mateu__olfactive_expressions-5__floral_amber_sensual_musk_240.jpg,8.1 1272
Orchidée Vanille,Van Cleef & Arpels,https://www.parfumo.com/Perfumes/Van_Cleef_Arpels/orchidee-vanille,https://pimages.parfumo.de/240/4094_img-7016-van-cleef-arpels-collection-extraordinaire-orchidee-vanille_240.jpg,8.3 1046
Silver Mountain Water,Creed,https://www.parfumo.com/Perfumes/Creed/Silver_Mountain_Water,https://pimages.parfumo.de/240/2307_img-3776-creed-silver-mountain-water-eau-de-parfum_240.jpg,7.9 1510
Triumph of Bacchus  Eau de Parfum,Argos,https://www.parfumo.com/Perfumes/Argos/triumph-of-bacchus-eau-de-parfum,https://pimages.parfumo.de/240/134716_img-3643-argos-triumph-of-bacchus-eau-de-parfum_240.jpg,8.5 851
